E3,SUB,source,key,SUB_random,E3_random
O43791,Q9UER7,16524876,O43791_Q9UER7,P52945,Q99497
O43791,P05412,19164706,O43791_P05412,O60306,P53350
O43791,Q9Y6Q9,21577200,O43791_Q9Y6Q9,P23511,P48454
O43791,P08151,22199232,O43791_P08151,Q96EW2,O14905
O43791,P10070,22199232,O43791_P10070,Q9NVR0,Q96SI9
O43791,O00330,22199232,O43791_O00330,P61956,Q09472
O43791,P10071,22199232,O43791_P10071,Q8N5M1,P08138
O43791,Q9HCU9,22199232,O43791_Q9HCU9,Q9Y4K3,Q9ULK4
O43791,P10275,24508459,O43791_P10275,Q9P2N7,P45983
O43791,Q16828,24656772,O43791_Q16828,O43295,P01116
O43791,P60484,24656772,O43791_P60484,Q13618,Q8TER0
O43791,Q16829,24656772,O43791_Q16829,O14682,P01116
O43791,P35659,25278611,O43791_P35659,Q92826,P00439
O43791,O15164,25278611,O43791_O15164,Q14145,Q9UPN9
O43791,Q49A26,25278611,O43791_Q49A26,Q9H0H3,Q8N490
O43791,P03372,25766326,O43791_P03372,Q9NUU6,P23528
O43791,Q12809,26344095,O43791_Q12809,Q9NWA0,P43694
O43791,P06401,26693071,O43791_P06401,Q96MT1,Q9NR55
O43791,Q9BYW2,27614073,O43791_Q9BYW2,Q6TFL4,Q9UI72
O43791,Q12834,27780719,O43791_Q12834,Q99612,F2Z3M2
O43791,Q27J81,28448495,O43791_Q27J81,Q16763,Q9Y3E7
O43791,Q9UBN7,28599312,O43791_Q9UBN7,Q8WXS4,P49450
O43791,O60885,28805820,O43791_O60885,Q969H9,P60709
O43791,P25440,28805820,O43791_P25440,Q9NPB1,Q5JVL4
O43791,Q15059,28805821,O43791_Q15059,P46527,Q13895
O43791,Q9H5J0,28805821,O43791_Q9H5J0,P62877,Q92623
O43791,Q9NZQ7,29160310,O43791_Q9NZQ7,Q8IYT4,P78423
O43791,P11308,29202479,O43791_P11308,Q9P2G9,Q9NR61
O43791,Q13158,30190126,O43791_Q13158,O94953,Q12933
O43791,P24864,30237511,O43791_P24864,P63165,P51513
O43791,Q9H9S0,30595538,O43791_Q9H9S0,P46940,P09874
O43791,P49327,30955223,O43791_P49327,Q53GT1,P55036
O43791,Q99836,31406379,O43791_Q99836,Q6IQ16,O60469
O43791,Q14444,31771591,O43791_Q14444,Q9Y297,P18124
O43791,Q12906,31772275,O43791_Q12906,Q9NXV2,Q9NR30
O43791,O95835,32460168,O43791_O95835,Q8IYB9,P12318
O43791,Q7Z7J5,33862460,O43791_Q7Z7J5,Q96G25,Q8N0S2
O43791,Q9H2X6,34133717,O43791_Q9H2X6,Q07864,O00238
O43791,Q12888,34144977,O43791_Q12888,Q53G59,A6NHZ5
Q8IUQ4,P43146,9858595,Q8IUQ4_P43146,O60907,Q8TAC9
Q8IUQ4,P10242,10747903,Q8IUQ4_P10242,Q71U36,Q9H8M7
Q8IUQ4,P29590,11111111,Q8IUQ4_P29590,Q9H422,Q96ST3
Q8IUQ4,Q16633,11111111,Q8IUQ4_Q16633,Q14186,O95150
Q8IUQ4,P08247,11111111,Q8IUQ4_P08247,O60282,P49798
Q8IUQ4,P35222,11389839,Q8IUQ4_P35222,Q9UHX1,P22102
Q8IUQ4,Q13118,12072443,Q8IUQ4_Q13118,Q99661,Q8NCT1
Q8IUQ4,P37840,14506261,Q8IUQ4_P37840,P54259,P02655
Q8IUQ4,Q9Y6H5,14506261,Q8IUQ4_Q9Y6H5,Q15369,Q14139
Q8IUQ4,Q99708,14654780,Q8IUQ4_Q99708,Q6NWY9,Q5VTD9
Q8IUQ4,O75525,15163637,Q8IUQ4_O75525,P62333,Q8TEW0
Q8IUQ4,P51825,15221006,Q8IUQ4_P51825,P62877,Q92793
Q8IUQ4,Q96KS0,17047048,Q8IUQ4_Q96KS0,P06748,Q8IXF0
Q8IUQ4,Q16665,17047048,Q8IUQ4_Q16665,Q00987,P10600
